Date,Open,High,Low,Close,Adj Close,Volume
25-Aug-23,132.47,133.87,130.58,133.26,133.26,"44,147,500"
24-Aug-23,136.4,136.78,131.83,131.84,131.84,"43,646,300"
23-Aug-23,134.5,135.95,133.22,135.52,135.52,"42,801,000"
22-Aug-23,135.08,135.65,133.73,134.25,134.25,"32,935,100"
21-Aug-23,133.74,135.19,132.71,134.68,134.68,"41,442,500"
18-Aug-23,131.62,134.07,131.15,133.22,133.22,"48,469,400"
17-Aug-23,135.46,136.09,133.53,133.98,133.98,"48,354,100"
16-Aug-23,137.19,137.27,135.01,135.07,135.07,"41,675,900"
15-Aug-23,140.05,141.28,137.23,137.67,137.67,"42,781,500"
14-Aug-23,138.3,140.59,137.75,140.57,140.57,"47,148,700"
11-Aug-23,137.4,139.33,137,138.41,138.41,"42,832,100"
10-Aug-23,139.07,140.41,137.49,138.56,138.56,"58,928,400"
09-Aug-23,139.97,140.32,137.1,137.85,137.85,"50,017,300"
08-Aug-23,140.62,140.84,138.42,139.94,139.94,"51,710,500"
07-Aug-23,140.99,142.54,138.95,142.22,142.22,"71,213,100"
04-Aug-23,141.06,143.63,139.32,139.57,139.57,"152,938,700"
03-Aug-23,127.48,129.84,126.41,128.91,128.91,"88,585,200"
02-Aug-23,130.15,130.23,126.82,128.21,128.21,"51,027,600"
01-Aug-23,133.55,133.69,131.62,131.69,131.69,"42,098,500"
31-Jul-23,133.2,133.87,132.38,133.68,133.68,"41,901,500"
28-Jul-23,129.69,133.01,129.33,132.21,132.21,"46,317,400"
27-Jul-23,131,132.63,127.79,128.25,128.25,"52,610,700"
26-Jul-23,126.51,129.08,126.11,128.15,128.15,"53,910,100"
25-Jul-23,129.31,129.58,128.53,129.13,129.13,"39,236,700"
24-Jul-23,130.31,131.66,128.35,128.8,128.8,"45,591,100"
21-Jul-23,131.34,131.37,128.42,130,130,"133,265,000"
20-Jul-23,134.07,134.79,129.33,129.96,129.96,"59,820,600"
19-Jul-23,133.39,135.99,132.53,135.36,135.36,"54,531,000"
18-Jul-23,132.71,133.86,131.35,132.83,132.83,"54,969,100"
17-Jul-23,134.56,135.62,133.21,133.56,133.56,"48,450,200"
14-Jul-23,134.06,136.65,134.06,134.68,134.68,"54,388,100"
13-Jul-23,134.04,134.67,132.71,134.3,134.3,"61,170,900"
12-Jul-23,130.31,131.26,128.83,130.8,130.8,"54,022,800"
11-Jul-23,127.75,129.77,127.35,128.78,128.78,"49,951,500"
10-Jul-23,129.07,129.28,125.92,127.13,127.13,"61,889,300"
07-Jul-23,128.59,130.97,128.13,129.78,129.78,"41,928,700"
06-Jul-23,128.25,128.73,127.37,128.36,128.36,"40,639,900"
05-Jul-23,130.24,131.4,129.64,130.38,130.38,"35,895,400"
03-Jul-23,130.82,131.85,130.07,130.22,130.22,"28,264,800"
30-Jun-23,129.47,131.25,128.95,130.36,130.36,"54,310,500"
29-Jun-23,128.77,129.26,127.26,127.9,127.9,"40,761,000"
